Time,Query,ClientIP,Count,Suspicious
2026-03-11T11:33:23.734581,evil.com.ru,192.168.28.82,16,True
2026-03-15T21:33:23.734581,legit28.com,192.168.31.139,21,False
2026-03-15T03:33:23.734581,malware1.ru,192.168.20.241,13,True
2026-03-13T00:33:23.734581,legit8.com,192.168.33.180,10,False
2026-03-10T15:33:23.734581,suspicious1.com,192.168.20.197,10,True
2026-03-12T07:33:23.734581,legit17.com,192.168.48.41,25,False
2026-03-16T16:33:23.734581,suspicious1.com,192.168.16.58,2,True
2026-03-12T20:33:23.734581,legit28.com,192.168.49.199,16,False
2026-03-15T00:33:23.734581,phish-site.cc,192.168.26.192,16,True
2026-03-11T18:33:23.734581,legit14.com,192.168.28.154,15,False
2026-03-13T06:33:23.734581,c2server.net,192.168.10.44,3,True
2026-03-10T18:33:23.734581,legit15.com,192.168.31.2,7,False
2026-03-11T18:33:23.734581,botnet2.xyz,192.168.21.39,16,True
2026-03-15T09:33:23.734581,legit47.com,192.168.29.15,17,False
2026-03-13T04:33:23.734581,tmp.ddns.net,192.168.21.150,5,True
2026-03-13T05:33:23.734581,legit15.com,192.168.23.91,22,False
2026-03-14T23:33:23.734581,suspicious1.com,192.168.16.69,11,True
2026-03-11T00:33:23.734581,legit44.com,192.168.23.72,17,False
2026-03-12T02:33:23.734581,botnet2.xyz,192.168.26.121,15,True
2026-03-10T20:33:23.734581,legit5.com,192.168.31.117,11,False
2026-03-15T20:33:23.734581,malware1.ru,192.168.40.27,24,True
2026-03-12T11:33:23.734581,legit4.com,192.168.10.43,2,False
2026-03-11T17:33:23.734581,evil.com.ru,192.168.23.149,8,True
2026-03-12T10:33:23.734581,legit9.com,192.168.35.21,21,False
2026-03-10T14:33:23.734581,malware1.ru,192.168.40.64,14,True
2026-03-14T21:33:23.734581,legit45.com,192.168.39.141,20,False
2026-03-14T09:33:23.734581,phish-site.cc,192.168.37.73,7,True
2026-03-15T22:33:23.734581,legit8.com,192.168.48.247,7,False
2026-03-11T03:33:23.734581,malware1.ru,192.168.17.182,19,True
2026-03-14T19:33:23.734581,legit16.com,192.168.31.71,21,False
2026-03-16T05:33:23.734581,suspicious1.com,192.168.13.86,21,True
2026-03-16T10:33:23.734581,legit42.com,192.168.17.202,2,False
2026-03-16T04:33:23.734581,tmp.ddns.net,192.168.28.221,13,True
2026-03-17T08:33:23.734581,legit11.com,192.168.50.170,14,False
2026-03-12T15:33:23.734581,dynamic-dns.org,192.168.47.72,11,True
2026-03-15T14:33:23.734581,legit3.com,192.168.30.181,9,False
2026-03-15T21:33:23.734581,suspicious1.com,192.168.50.200,3,True
2026-03-12T10:33:23.734581,legit34.com,192.168.10.169,12,False
2026-03-16T22:33:23.734581,botnet2.xyz,192.168.48.236,23,True
2026-03-11T05:33:23.734581,legit37.com,192.168.20.251,24,False
2026-03-15T21:33:23.734581,tmp.ddns.net,192.168.19.223,10,True
2026-03-11T17:33:23.734581,legit18.com,192.168.39.134,17,False
2026-03-15T00:33:23.734581,c2server.net,192.168.50.214,25,True
2026-03-13T04:33:23.734581,legit37.com,192.168.10.181,18,False
2026-03-16T09:33:23.734581,suspicious1.com,192.168.21.63,6,True
2026-03-15T07:33:23.734581,legit42.com,192.168.26.102,19,False
2026-03-12T11:33:23.734581,phish-site.cc,192.168.17.26,2,True
2026-03-17T04:33:23.734581,legit4.com,192.168.36.116,13,False
2026-03-14T01:33:23.734581,tmp.ddns.net,192.168.35.182,14,True
2026-03-14T02:33:23.734581,legit32.com,192.168.34.245,21,False
2026-03-12T04:33:23.734581,suspicious1.com,192.168.13.46,23,True
2026-03-10T22:33:23.734581,legit5.com,192.168.42.91,18,False
2026-03-15T17:33:23.734581,phish-site.cc,192.168.19.254,13,True
2026-03-14T15:33:23.734581,legit40.com,192.168.37.98,25,False
2026-03-13T22:33:23.734581,tmp.ddns.net,192.168.42.130,4,True
2026-03-12T08:33:23.734581,legit16.com,192.168.33.64,16,False
2026-03-11T08:33:23.734581,x123.randomdomain.ru,192.168.36.194,11,True
2026-03-14T06:33:23.734581,legit40.com,192.168.35.77,2,False
2026-03-14T08:33:23.734581,botnet2.xyz,192.168.32.120,22,True
2026-03-10T14:33:23.734581,legit40.com,192.168.40.27,25,False
2026-03-13T21:33:23.734581,c2server.net,192.168.13.34,23,True
2026-03-12T21:33:23.734581,legit42.com,192.168.10.95,17,False
2026-03-13T03:33:23.734581,malware1.ru,192.168.18.253,17,True
2026-03-13T04:33:23.734581,legit22.com,192.168.30.140,12,False
2026-03-14T02:33:23.734581,evil.com.ru,192.168.17.193,7,True
2026-03-10T22:33:23.734581,legit19.com,192.168.40.134,25,False
2026-03-12T16:33:23.734581,dynamic-dns.org,192.168.25.197,3,True
2026-03-14T04:33:23.734581,legit25.com,192.168.21.8,1,False
2026-03-15T08:33:23.734581,phish-site.cc,192.168.20.10,20,True
2026-03-11T20:33:23.734581,legit36.com,192.168.39.100,14,False
2026-03-13T08:33:23.734581,tmp.ddns.net,192.168.34.195,22,True
2026-03-15T17:33:23.734581,legit45.com,192.168.46.24,9,False
2026-03-16T19:33:23.734581,phish-site.cc,192.168.46.63,14,True
2026-03-16T11:33:23.734581,legit26.com,192.168.36.231,25,False
2026-03-14T13:33:23.734581,c2server.net,192.168.48.109,11,True
2026-03-12T22:33:23.734581,legit19.com,192.168.44.192,15,False
2026-03-14T22:33:23.734581,tmp.ddns.net,192.168.21.152,11,True
2026-03-15T04:33:23.734581,legit13.com,192.168.31.45,8,False
2026-03-13T18:33:23.734581,dynamic-dns.org,192.168.43.93,24,True
2026-03-10T11:33:23.734581,legit28.com,192.168.44.174,12,False
2026-03-17T01:33:23.734581,botnet2.xyz,192.168.29.174,1,True
2026-03-13T05:33:23.734581,legit25.com,192.168.34.16,1,False
2026-03-11T15:33:23.734581,tmp.ddns.net,192.168.32.128,25,True
2026-03-12T00:33:23.734581,legit9.com,192.168.11.69,1,False
2026-03-12T14:33:23.734581,dynamic-dns.org,192.168.45.190,22,True
2026-03-16T10:33:23.734581,legit35.com,192.168.50.105,6,False
2026-03-16T11:33:23.734581,phish-site.cc,192.168.27.34,23,True
2026-03-14T07:33:23.734581,legit46.com,192.168.29.82,7,False
2026-03-16T01:33:23.734581,x123.randomdomain.ru,192.168.28.181,10,True
2026-03-12T08:33:23.734581,legit11.com,192.168.46.180,12,False
2026-03-15T19:33:23.734581,evil.com.ru,192.168.10.47,9,True
2026-03-13T20:33:23.734581,legit17.com,192.168.43.188,14,False
2026-03-14T01:33:23.734581,botnet2.xyz,192.168.39.19,7,True
2026-03-10T16:33:23.734581,legit44.com,192.168.38.176,21,False
2026-03-12T15:33:23.734581,dynamic-dns.org,192.168.37.46,24,True
2026-03-11T14:33:23.734581,legit2.com,192.168.13.246,17,False
2026-03-11T11:33:23.734581,suspicious1.com,192.168.29.27,3,True
2026-03-12T05:33:23.734581,legit1.com,192.168.10.240,8,False
2026-03-12T01:33:23.734581,malware1.ru,192.168.38.116,15,True
2026-03-11T01:33:23.734581,legit30.com,192.168.33.77,18,False
2026-03-14T08:33:23.734581,suspicious1.com,192.168.19.54,24,True
2026-03-12T20:33:23.734581,legit21.com,192.168.34.47,11,False
2026-03-14T09:33:23.734581,suspicious1.com,192.168.26.248,1,True
2026-03-14T05:33:23.734581,legit35.com,192.168.17.85,25,False
2026-03-16T14:33:23.734581,c2server.net,192.168.38.152,6,True
2026-03-13T01:33:23.734581,legit17.com,192.168.43.89,25,False
2026-03-16T21:33:23.734581,dynamic-dns.org,192.168.27.170,9,True
2026-03-16T23:33:23.734581,legit16.com,192.168.34.217,1,False
2026-03-10T16:33:23.734581,x123.randomdomain.ru,192.168.46.161,6,True
2026-03-15T06:33:23.734581,legit31.com,192.168.39.147,4,False
2026-03-12T09:33:23.734581,tmp.ddns.net,192.168.14.42,20,True
2026-03-17T06:33:23.734581,legit4.com,192.168.41.156,19,False
2026-03-17T09:33:23.734581,phish-site.cc,192.168.35.69,18,True
2026-03-14T23:33:23.734581,legit18.com,192.168.49.129,11,False
2026-03-16T14:33:23.734581,tmp.ddns.net,192.168.36.206,25,True
2026-03-10T11:33:23.734581,legit27.com,192.168.26.8,25,False
2026-03-15T22:33:23.734581,tmp.ddns.net,192.168.26.96,18,True
2026-03-12T21:33:23.734581,legit45.com,192.168.30.139,14,False
2026-03-11T21:33:23.734581,dynamic-dns.org,192.168.39.74,25,True
2026-03-17T03:33:23.734581,legit12.com,192.168.20.249,11,False
2026-03-16T04:33:23.734581,suspicious1.com,192.168.36.254,7,True
2026-03-17T02:33:23.734581,legit47.com,192.168.36.235,9,False
2026-03-12T07:33:23.734581,phish-site.cc,192.168.22.19,5,True
2026-03-15T20:33:23.734581,legit20.com,192.168.14.149,10,False
2026-03-16T14:33:23.734581,x123.randomdomain.ru,192.168.35.133,20,True
2026-03-16T23:33:23.734581,legit9.com,192.168.31.223,21,False
2026-03-10T10:33:23.734581,botnet2.xyz,192.168.38.226,20,True
2026-03-16T19:33:23.734581,legit40.com,192.168.46.93,6,False
2026-03-16T20:33:23.734581,evil.com.ru,192.168.40.98,21,True
2026-03-11T11:33:23.734581,legit26.com,192.168.28.233,24,False
2026-03-14T09:33:23.734581,dynamic-dns.org,192.168.19.75,21,True
2026-03-13T22:33:23.734581,legit23.com,192.168.47.3,2,False
2026-03-14T08:33:23.734581,c2server.net,192.168.48.110,12,True
2026-03-11T02:33:23.734581,legit42.com,192.168.30.222,22,False
2026-03-13T18:33:23.734581,dynamic-dns.org,192.168.38.10,22,True
2026-03-12T19:33:23.734581,legit35.com,192.168.33.204,3,False
2026-03-13T03:33:23.734581,botnet2.xyz,192.168.25.9,17,True
2026-03-14T00:33:23.734581,legit47.com,192.168.13.248,13,False
2026-03-10T19:33:23.734581,c2server.net,192.168.30.171,18,True
2026-03-16T21:33:23.734581,legit35.com,192.168.21.48,1,False
2026-03-15T20:33:23.734581,tmp.ddns.net,192.168.27.57,23,True
2026-03-15T20:33:23.734581,legit12.com,192.168.11.30,25,False
2026-03-10T12:33:23.734581,botnet2.xyz,192.168.48.56,13,True
2026-03-15T03:33:23.734581,legit44.com,192.168.14.100,15,False
2026-03-15T06:33:23.734581,suspicious1.com,192.168.11.64,2,True
2026-03-12T18:33:23.734581,legit13.com,192.168.30.176,18,False
2026-03-14T05:33:23.734581,botnet2.xyz,192.168.26.161,19,True
2026-03-10T14:33:23.734581,legit20.com,192.168.38.235,22,False
2026-03-15T13:33:23.734581,evil.com.ru,192.168.40.152,6,True
2026-03-10T16:33:23.734581,legit22.com,192.168.38.205,23,False
2026-03-13T07:33:23.734581,tmp.ddns.net,192.168.40.36,9,True
2026-03-14T01:33:23.734581,legit41.com,192.168.46.100,2,False
2026-03-15T03:33:23.734581,dynamic-dns.org,192.168.44.253,16,True
2026-03-17T04:33:23.734581,legit21.com,192.168.21.14,24,False
2026-03-13T00:33:23.734581,phish-site.cc,192.168.42.115,9,True
2026-03-11T18:33:23.734581,legit44.com,192.168.47.84,15,False
2026-03-11T23:33:23.734581,suspicious1.com,192.168.31.231,6,True
2026-03-15T13:33:23.734581,legit15.com,192.168.20.238,15,False
2026-03-10T18:33:23.734581,suspicious1.com,192.168.27.137,25,True
2026-03-12T20:33:23.734581,legit24.com,192.168.38.235,23,False
2026-03-16T07:33:23.734581,x123.randomdomain.ru,192.168.37.34,10,True
2026-03-16T03:33:23.734581,legit41.com,192.168.44.213,10,False
2026-03-17T00:33:23.734581,c2server.net,192.168.21.92,12,True
2026-03-16T02:33:23.734581,legit46.com,192.168.48.156,19,False
2026-03-16T10:33:23.734581,x123.randomdomain.ru,192.168.38.10,23,True
2026-03-13T00:33:23.734581,legit24.com,192.168.38.40,9,False
2026-03-10T17:33:23.734581,suspicious1.com,192.168.27.111,9,True
2026-03-16T11:33:23.734581,legit42.com,192.168.10.148,18,False
2026-03-13T00:33:23.734581,botnet2.xyz,192.168.19.207,1,True
2026-03-15T09:33:23.734581,legit24.com,192.168.24.191,14,False
2026-03-14T05:33:23.734581,x123.randomdomain.ru,192.168.27.43,3,True
2026-03-16T16:33:23.734581,legit3.com,192.168.21.112,24,False
2026-03-12T08:33:23.734581,phish-site.cc,192.168.25.8,24,True
2026-03-15T04:33:23.734581,legit33.com,192.168.27.18,3,False
2026-03-15T06:33:23.734581,tmp.ddns.net,192.168.21.45,24,True
2026-03-16T21:33:23.734581,legit47.com,192.168.26.40,23,False
2026-03-10T11:33:23.734581,c2server.net,192.168.27.153,4,True
2026-03-14T19:33:23.734581,legit31.com,192.168.41.209,9,False
2026-03-11T18:33:23.734581,x123.randomdomain.ru,192.168.38.237,21,True
2026-03-13T03:33:23.734581,legit37.com,192.168.12.70,23,False
2026-03-17T05:33:23.734581,x123.randomdomain.ru,192.168.48.48,19,True
2026-03-13T14:33:23.734581,legit40.com,192.168.18.252,16,False
2026-03-14T01:33:23.734581,dynamic-dns.org,192.168.11.196,6,True
2026-03-16T23:33:23.734581,legit16.com,192.168.17.139,24,False
2026-03-14T06:33:23.734581,phish-site.cc,192.168.18.180,21,True
2026-03-15T20:33:23.734581,legit10.com,192.168.17.174,15,False
2026-03-12T00:33:23.734581,tmp.ddns.net,192.168.45.82,17,True
2026-03-17T07:33:23.734581,legit35.com,192.168.38.98,5,False
2026-03-11T11:33:23.734581,malware1.ru,192.168.21.54,3,True
2026-03-15T15:33:23.734581,legit27.com,192.168.48.112,9,False
2026-03-14T09:33:23.734581,suspicious1.com,192.168.22.213,7,True
2026-03-10T18:33:23.734581,legit42.com,192.168.24.67,21,False
2026-03-11T16:33:23.734581,phish-site.cc,192.168.15.19,19,True
2026-03-15T06:33:23.734581,legit6.com,192.168.10.229,4,False
2026-03-17T02:33:23.734581,phish-site.cc,192.168.31.250,3,True
2026-03-13T22:33:23.734581,legit17.com,192.168.16.9,15,False
2026-03-13T10:33:23.734581,tmp.ddns.net,192.168.15.97,23,True
2026-03-14T04:33:23.734581,legit32.com,192.168.50.236,23,False
2026-03-10T11:33:23.734581,phish-site.cc,192.168.34.39,13,True
2026-03-13T04:33:23.734581,legit5.com,192.168.38.180,9,False
2026-03-12T21:33:23.734581,c2server.net,192.168.26.247,16,True
2026-03-14T06:33:23.734581,legit47.com,192.168.31.42,18,False
2026-03-13T07:33:23.734581,evil.com.ru,192.168.33.89,16,True
2026-03-14T02:33:23.734581,legit16.com,192.168.34.81,22,False
2026-03-16T05:33:23.734581,c2server.net,192.168.43.179,12,True
2026-03-14T16:33:23.734581,legit3.com,192.168.13.34,1,False
2026-03-16T15:33:23.734581,botnet2.xyz,192.168.24.71,21,True
2026-03-16T00:33:23.734581,legit39.com,192.168.13.148,17,False
2026-03-11T02:33:23.734581,tmp.ddns.net,192.168.26.50,14,True
2026-03-16T08:33:23.734581,legit28.com,192.168.31.90,8,False
2026-03-11T17:33:23.734581,evil.com.ru,192.168.23.191,7,True
2026-03-13T10:33:23.734581,legit36.com,192.168.28.57,22,False
2026-03-16T23:33:23.734581,x123.randomdomain.ru,192.168.49.144,5,True
2026-03-11T10:33:23.734581,legit43.com,192.168.43.71,17,False
2026-03-15T02:33:23.734581,c2server.net,192.168.14.164,23,True
2026-03-12T11:33:23.734581,legit36.com,192.168.22.159,14,False
2026-03-11T18:33:23.734581,dynamic-dns.org,192.168.21.135,12,True
2026-03-14T05:33:23.734581,legit31.com,192.168.13.183,6,False
2026-03-16T04:33:23.734581,malware1.ru,192.168.11.13,16,True
2026-03-10T14:33:23.734581,legit49.com,192.168.35.137,22,False
2026-03-15T23:33:23.734581,evil.com.ru,192.168.22.160,23,True
2026-03-16T13:33:23.734581,legit23.com,192.168.30.47,9,False
2026-03-16T17:33:23.734581,evil.com.ru,192.168.27.15,14,True
2026-03-12T08:33:23.734581,legit23.com,192.168.49.240,3,False
2026-03-16T10:33:23.734581,tmp.ddns.net,192.168.12.19,14,True
2026-03-13T00:33:23.734581,legit37.com,192.168.11.142,9,False
2026-03-12T13:33:23.734581,botnet2.xyz,192.168.31.14,15,True
2026-03-15T23:33:23.734581,legit35.com,192.168.25.64,25,False
2026-03-10T14:33:23.734581,evil.com.ru,192.168.39.150,17,True
2026-03-12T14:33:23.734581,legit35.com,192.168.39.149,6,False
2026-03-15T02:33:23.734581,evil.com.ru,192.168.22.226,11,True
2026-03-10T17:33:23.734581,legit34.com,192.168.48.92,25,False
2026-03-16T08:33:23.734581,malware1.ru,192.168.50.238,23,True
2026-03-12T18:33:23.734581,legit36.com,192.168.47.238,14,False
2026-03-14T12:33:23.734581,x123.randomdomain.ru,192.168.40.59,3,True
2026-03-11T05:33:23.734581,legit10.com,192.168.26.189,8,False
2026-03-13T01:33:23.734581,botnet2.xyz,192.168.46.129,3,True
2026-03-16T14:33:23.734581,legit24.com,192.168.17.164,9,False
2026-03-11T12:33:23.734581,malware1.ru,192.168.19.201,2,True
2026-03-14T20:33:23.734581,legit42.com,192.168.30.214,2,False
2026-03-12T01:33:23.734581,dynamic-dns.org,192.168.25.249,12,True
2026-03-17T00:33:23.734581,legit21.com,192.168.44.237,13,False
2026-03-14T07:33:23.734581,c2server.net,192.168.29.223,1,True
2026-03-15T12:33:23.734581,legit44.com,192.168.43.52,4,False
2026-03-17T02:33:23.734581,evil.com.ru,192.168.34.235,7,True
2026-03-13T05:33:23.734581,legit48.com,192.168.25.52,18,False
2026-03-11T00:33:23.734581,dynamic-dns.org,192.168.10.53,9,True
2026-03-16T16:33:23.734581,legit15.com,192.168.20.76,2,False
2026-03-17T10:33:23.734581,phish-site.cc,192.168.18.180,1,True
2026-03-16T11:33:23.734581,legit16.com,192.168.23.189,21,False
2026-03-14T22:33:23.734581,tmp.ddns.net,192.168.46.231,12,True
2026-03-17T04:33:23.734581,legit22.com,192.168.16.191,8,False
2026-03-15T18:33:23.734581,evil.com.ru,192.168.47.86,23,True
2026-03-16T11:33:23.734581,legit24.com,192.168.14.83,3,False
2026-03-12T12:33:23.734581,evil.com.ru,192.168.35.26,4,True
2026-03-10T17:33:23.734581,legit23.com,192.168.15.148,8,False
2026-03-14T22:33:23.734581,phish-site.cc,192.168.36.184,19,True
2026-03-16T11:33:23.734581,legit13.com,192.168.44.16,2,False
2026-03-15T18:33:23.734581,c2server.net,192.168.39.225,24,True
2026-03-15T05:33:23.734581,legit20.com,192.168.33.90,20,False
2026-03-13T15:33:23.734581,evil.com.ru,192.168.50.217,14,True
2026-03-13T00:33:23.734581,legit23.com,192.168.46.106,9,False
2026-03-16T12:33:23.734581,botnet2.xyz,192.168.42.135,25,True
2026-03-15T10:33:23.734581,legit33.com,192.168.14.207,1,False
2026-03-10T14:33:23.734581,x123.randomdomain.ru,192.168.41.100,16,True
2026-03-13T10:33:23.734581,legit10.com,192.168.27.152,23,False
2026-03-12T11:33:23.734581,evil.com.ru,192.168.47.204,12,True
2026-03-10T14:33:23.734581,legit24.com,192.168.27.164,23,False
2026-03-13T01:33:23.734581,suspicious1.com,192.168.28.173,8,True
2026-03-15T21:33:23.734581,legit11.com,192.168.18.204,7,False
2026-03-15T05:33:23.734581,dynamic-dns.org,192.168.15.167,21,True
2026-03-16T13:33:23.734581,legit39.com,192.168.29.80,8,False
2026-03-17T06:33:23.734581,phish-site.cc,192.168.22.32,2,True
2026-03-11T04:33:23.734581,legit17.com,192.168.14.105,6,False
2026-03-14T02:33:23.734581,c2server.net,192.168.45.154,11,True
2026-03-11T02:33:23.734581,legit23.com,192.168.23.89,8,False
2026-03-14T00:33:23.734581,x123.randomdomain.ru,192.168.39.145,1,True
2026-03-16T12:33:23.734581,legit26.com,192.168.47.218,8,False
2026-03-13T03:33:23.734581,evil.com.ru,192.168.11.18,18,True
2026-03-16T01:33:23.734581,legit2.com,192.168.30.132,10,False
2026-03-14T20:33:23.734581,tmp.ddns.net,192.168.44.138,12,True
2026-03-13T23:33:23.734581,legit1.com,192.168.41.113,16,False
2026-03-13T03:33:23.734581,phish-site.cc,192.168.33.2,23,True
2026-03-12T17:33:23.734581,legit27.com,192.168.21.103,12,False
2026-03-12T14:33:23.734581,tmp.ddns.net,192.168.44.167,15,True
2026-03-11T16:33:23.734581,legit25.com,192.168.41.169,18,False
2026-03-14T18:33:23.734581,c2server.net,192.168.33.25,25,True
2026-03-15T21:33:23.734581,legit14.com,192.168.31.223,12,False
2026-03-10T14:33:23.734581,tmp.ddns.net,192.168.36.139,14,True
2026-03-14T19:33:23.734581,legit27.com,192.168.18.131,10,False
2026-03-11T10:33:23.734581,suspicious1.com,192.168.30.66,18,True
2026-03-12T03:33:23.734581,legit13.com,192.168.44.208,1,False
2026-03-10T23:33:23.734581,phish-site.cc,192.168.10.11,11,True
2026-03-14T07:33:23.734581,legit48.com,192.168.11.67,20,False
2026-03-11T07:33:23.734581,suspicious1.com,192.168.32.233,2,True
2026-03-16T20:33:23.734581,legit46.com,192.168.44.251,1,False
2026-03-16T20:33:23.734581,phish-site.cc,192.168.42.84,16,True
2026-03-13T07:33:23.734581,legit22.com,192.168.17.73,11,False
2026-03-11T02:33:23.734581,malware1.ru,192.168.18.217,2,True
2026-03-14T19:33:23.734581,legit16.com,192.168.14.237,17,False
2026-03-13T20:33:23.734581,phish-site.cc,192.168.16.67,6,True
2026-03-13T22:33:23.734581,legit28.com,192.168.16.125,21,False
2026-03-12T08:33:23.734581,evil.com.ru,192.168.25.155,10,True
2026-03-12T16:33:23.734581,legit32.com,192.168.48.95,10,False
2026-03-14T12:33:23.734581,dynamic-dns.org,192.168.44.205,19,True
2026-03-14T07:33:23.734581,legit24.com,192.168.41.64,10,False
2026-03-13T00:33:23.734581,phish-site.cc,192.168.37.143,15,True
2026-03-15T10:33:23.734581,legit37.com,192.168.33.71,18,False
2026-03-16T09:33:23.734581,evil.com.ru,192.168.21.190,13,True
2026-03-10T23:33:23.734581,legit19.com,192.168.11.113,8,False
2026-03-16T17:33:23.734581,suspicious1.com,192.168.19.98,5,True
2026-03-11T10:33:23.734581,legit2.com,192.168.37.84,1,False
2026-03-11T14:33:23.734581,dynamic-dns.org,192.168.24.14,12,True
2026-03-12T18:33:23.734581,legit25.com,192.168.24.54,18,False
2026-03-15T07:33:23.734581,c2server.net,192.168.20.126,20,True
2026-03-10T10:33:23.734581,legit2.com,192.168.15.75,9,False
2026-03-11T23:33:23.734581,x123.randomdomain.ru,192.168.12.111,25,True
2026-03-15T15:33:23.734581,legit38.com,192.168.46.12,12,False
2026-03-13T09:33:23.734581,phish-site.cc,192.168.19.250,19,True
2026-03-15T12:33:23.734581,legit6.com,192.168.12.203,1,False
2026-03-12T08:33:23.734581,c2server.net,192.168.36.201,14,True
2026-03-10T11:33:23.734581,legit36.com,192.168.28.251,7,False
2026-03-14T18:33:23.734581,malware1.ru,192.168.24.36,7,True
2026-03-14T06:33:23.734581,legit12.com,192.168.42.213,18,False
2026-03-14T04:33:23.734581,x123.randomdomain.ru,192.168.31.46,23,True
