Time,EventID,Description,Computer,Account,SourceIP
2026-03-15 20:33:23.734581,4625,Failed login (brute-force),DC05,user49@domain.local,192.168.46.62
2026-03-14 17:33:23.734581,4672,Privilege escalation,DC02,user11@corp.net,192.168.17.197
2026-03-14 19:33:23.734581,1102,Security log cleared,DC02,user22@corp.net,192.168.10.9
2026-03-13 06:33:23.734581,4624,Suspicious login,DC04,user88@corp.net,192.168.28.33
2026-03-10 22:33:23.734581,4719,Audit policy change,DC03,user63@domain.local,192.168.25.53
2026-03-12 13:33:23.734581,4719,Audit policy change,DC05,user51@corp.net,192.168.29.44
2026-03-11 04:33:23.734581,4768,Kerberos TGT request,DC03,user58@corp.net,192.168.38.9
2026-03-11 07:33:23.734581,4648,RunAs explicit credentials,DC02,user56@corp.net,192.168.38.27
2026-03-13 19:33:23.734581,4672,Privilege escalation,DC01,user46@corp.net,192.168.44.103
2026-03-16 21:33:23.734581,4625,Failed login (brute-force),DC01,user79@domain.local,192.168.10.195
2026-03-14 16:33:23.734581,4624,Suspicious login,DC03,user55@domain.local,192.168.22.191
2026-03-17 00:33:23.734581,4625,Failed login (brute-force),DC02,user17@domain.local,192.168.32.210
2026-03-10 15:33:23.734581,4672,Privilege escalation,DC02,user9@corp.net,192.168.43.51
2026-03-10 17:33:23.734581,4672,Privilege escalation,DC04,user13@domain.local,192.168.27.18
2026-03-11 14:33:23.734581,4625,Failed login (brute-force),DC01,user94@domain.local,192.168.11.172
2026-03-15 05:33:23.734581,4624,Suspicious login,DC01,user22@domain.local,192.168.42.137
2026-03-13 14:33:23.734581,4672,Privilege escalation,DC02,user79@corp.net,192.168.44.46
2026-03-14 15:33:23.734581,4624,Suspicious login,DC04,user68@corp.net,192.168.43.117
2026-03-16 18:33:23.734581,4625,Failed login (brute-force),DC03,user26@corp.net,192.168.12.243
2026-03-12 22:33:23.734581,4672,Privilege escalation,DC05,user19@corp.net,192.168.39.173
2026-03-16 12:33:23.734581,4624,Suspicious login,DC01,user80@domain.local,192.168.42.103
2026-03-17 04:33:23.734581,4625,Failed login (brute-force),DC04,user89@corp.net,192.168.37.27
2026-03-11 12:33:23.734581,1102,Security log cleared,DC02,user63@domain.local,192.168.46.15
2026-03-16 05:33:23.734581,4719,Audit policy change,DC02,user78@corp.net,192.168.38.144
2026-03-11 23:33:23.734581,4624,Suspicious login,DC03,user73@domain.local,192.168.44.215
2026-03-17 03:33:23.734581,4672,Privilege escalation,DC03,user82@corp.net,192.168.18.246
2026-03-15 12:33:23.734581,4624,Suspicious login,DC03,user55@domain.local,192.168.26.112
2026-03-12 19:33:23.734581,4625,Failed login (brute-force),DC05,user36@domain.local,192.168.21.73
2026-03-16 19:33:23.734581,4625,Failed login (brute-force),DC01,user88@corp.net,192.168.29.175
2026-03-14 22:33:23.734581,4672,Privilege escalation,DC05,user58@corp.net,192.168.33.50
2026-03-12 00:33:23.734581,4719,Audit policy change,DC03,user57@corp.net,192.168.28.205
2026-03-16 22:33:23.734581,4624,Suspicious login,DC01,user50@corp.net,192.168.28.193
2026-03-12 14:33:23.734581,4719,Audit policy change,DC02,user63@corp.net,192.168.15.195
2026-03-10 22:33:23.734581,4625,Failed login (brute-force),DC03,user59@domain.local,192.168.27.168
2026-03-13 13:33:23.734581,4672,Privilege escalation,DC05,user33@corp.net,192.168.10.243
2026-03-13 20:33:23.734581,4719,Audit policy change,DC04,user91@corp.net,192.168.32.255
2026-03-13 03:33:23.734581,4625,Failed login (brute-force),DC03,user49@domain.local,192.168.30.206
2026-03-13 00:33:23.734581,4719,Audit policy change,DC05,user13@corp.net,192.168.45.164
2026-03-10 19:33:23.734581,4624,Suspicious login,DC02,user32@domain.local,192.168.48.100
2026-03-17 03:33:23.734581,4673,Privileged service call,DC03,user66@corp.net,192.168.48.15
2026-03-17 10:33:23.734581,1102,Security log cleared,DC02,user43@corp.net,192.168.16.28
2026-03-16 16:33:23.734581,4648,RunAs explicit credentials,DC01,user90@domain.local,192.168.21.39
2026-03-16 02:33:23.734581,4648,RunAs explicit credentials,DC01,user73@corp.net,192.168.49.205
2026-03-16 09:33:23.734581,4625,Failed login (brute-force),DC02,user19@domain.local,192.168.35.6
2026-03-10 22:33:23.734581,4625,Failed login (brute-force),DC01,user59@domain.local,192.168.25.1
2026-03-12 18:33:23.734581,4624,Suspicious login,DC02,user47@domain.local,192.168.18.36
2026-03-12 21:33:23.734581,4719,Audit policy change,DC05,user8@corp.net,192.168.14.246
2026-03-12 16:33:23.734581,4625,Failed login (brute-force),DC05,user34@domain.local,192.168.38.63
2026-03-12 15:33:23.734581,4624,Suspicious login,DC01,user87@domain.local,192.168.43.217
2026-03-13 20:33:23.734581,4624,Suspicious login,DC05,user65@domain.local,192.168.14.198
2026-03-15 23:33:23.734581,4672,Privilege escalation,DC01,user89@domain.local,192.168.36.116
2026-03-16 10:33:23.734581,4625,Failed login (brute-force),DC01,user76@domain.local,192.168.35.177
2026-03-17 07:33:23.734581,4625,Failed login (brute-force),DC03,user72@domain.local,192.168.46.53
2026-03-14 19:33:23.734581,4768,Kerberos TGT request,DC03,user58@domain.local,192.168.12.88
2026-03-12 16:33:23.734581,4672,Privilege escalation,DC05,user94@corp.net,192.168.23.252
2026-03-13 00:33:23.734581,4625,Failed login (brute-force),DC04,user22@corp.net,192.168.34.101
2026-03-14 11:33:23.734581,4672,Privilege escalation,DC04,user91@corp.net,192.168.17.77
2026-03-14 02:33:23.734581,4719,Audit policy change,DC03,user57@corp.net,192.168.27.241
2026-03-10 10:33:23.734581,4624,Suspicious login,DC04,user17@corp.net,192.168.17.99
2026-03-13 22:33:23.734581,4648,RunAs explicit credentials,DC04,user62@domain.local,192.168.44.185
2026-03-16 10:33:23.734581,1102,Security log cleared,DC04,user61@domain.local,192.168.34.167
2026-03-12 04:33:23.734581,4625,Failed login (brute-force),DC03,user4@domain.local,192.168.38.186
2026-03-16 00:33:23.734581,4672,Privilege escalation,DC01,user4@domain.local,192.168.12.116
2026-03-16 13:33:23.734581,4673,Privileged service call,DC02,user20@domain.local,192.168.36.238
2026-03-14 03:33:23.734581,4625,Failed login (brute-force),DC01,user46@domain.local,192.168.32.158
2026-03-16 13:33:23.734581,1102,Security log cleared,DC01,user1@domain.local,192.168.11.68
2026-03-12 06:33:23.734581,4624,Suspicious login,DC02,user85@domain.local,192.168.44.201
2026-03-15 02:33:23.734581,4672,Privilege escalation,DC02,user79@corp.net,192.168.46.168
2026-03-16 01:33:23.734581,4625,Failed login (brute-force),DC04,user25@corp.net,192.168.10.255
2026-03-13 01:33:23.734581,4719,Audit policy change,DC01,user6@domain.local,192.168.45.52
2026-03-14 00:33:23.734581,4624,Suspicious login,DC01,user93@corp.net,192.168.11.230
2026-03-15 18:33:23.734581,4648,RunAs explicit credentials,DC04,user97@corp.net,192.168.48.249
2026-03-12 10:33:23.734581,4625,Failed login (brute-force),DC05,user64@corp.net,192.168.19.113
2026-03-13 22:33:23.734581,4625,Failed login (brute-force),DC02,user74@corp.net,192.168.30.102
2026-03-14 13:33:23.734581,4672,Privilege escalation,DC01,user39@domain.local,192.168.42.130
2026-03-14 08:33:23.734581,4625,Failed login (brute-force),DC01,user55@domain.local,192.168.17.178
2026-03-16 17:33:23.734581,4624,Suspicious login,DC02,user4@domain.local,192.168.14.211
2026-03-12 12:33:23.734581,4624,Suspicious login,DC04,user68@domain.local,192.168.49.141
2026-03-12 21:33:23.734581,4672,Privilege escalation,DC05,user5@corp.net,192.168.17.158
2026-03-12 17:33:23.734581,4625,Failed login (brute-force),DC05,user82@domain.local,192.168.15.185
2026-03-17 08:33:23.734581,4625,Failed login (brute-force),DC04,user35@domain.local,192.168.28.45
2026-03-10 14:33:23.734581,4719,Audit policy change,DC02,user57@corp.net,192.168.45.84
2026-03-12 11:33:23.734581,1102,Security log cleared,DC05,user91@corp.net,192.168.22.49
2026-03-14 02:33:23.734581,4624,Suspicious login,DC03,user59@corp.net,192.168.34.200
2026-03-11 22:33:23.734581,4673,Privileged service call,DC01,user14@corp.net,192.168.38.116
2026-03-11 18:33:23.734581,4624,Suspicious login,DC03,user63@domain.local,192.168.32.254
2026-03-17 06:33:23.734581,4624,Suspicious login,DC02,user26@domain.local,192.168.23.182
2026-03-10 14:33:23.734581,4719,Audit policy change,DC02,user30@corp.net,192.168.21.247
2026-03-11 01:33:23.734581,4672,Privilege escalation,DC02,user67@domain.local,192.168.41.6
2026-03-13 05:33:23.734581,4624,Suspicious login,DC02,user55@corp.net,192.168.24.155
2026-03-11 02:33:23.734581,4672,Privilege escalation,DC05,user68@corp.net,192.168.43.107
2026-03-11 14:33:23.734581,4624,Suspicious login,DC04,user68@domain.local,192.168.44.141
2026-03-12 11:33:23.734581,1102,Security log cleared,DC03,user94@corp.net,192.168.12.248
2026-03-11 00:33:23.734581,4625,Failed login (brute-force),DC04,user93@corp.net,192.168.48.6
2026-03-10 10:33:23.734581,4624,Suspicious login,DC01,user84@domain.local,192.168.49.106
2026-03-14 04:33:23.734581,4625,Failed login (brute-force),DC05,user85@corp.net,192.168.46.155
2026-03-15 02:33:23.734581,4719,Audit policy change,DC05,user77@domain.local,192.168.22.238
2026-03-11 17:33:23.734581,4625,Failed login (brute-force),DC02,user92@corp.net,192.168.17.96
2026-03-12 04:33:23.734581,4624,Suspicious login,DC02,user38@corp.net,192.168.47.14
2026-03-11 13:33:23.734581,4625,Failed login (brute-force),DC03,user56@domain.local,192.168.16.115
2026-03-16 19:33:23.734581,4672,Privilege escalation,DC05,user57@domain.local,192.168.47.193
2026-03-12 03:33:23.734581,4624,Suspicious login,DC02,user15@domain.local,192.168.33.61
2026-03-14 08:33:23.734581,4625,Failed login (brute-force),DC02,user91@corp.net,192.168.37.209
2026-03-14 05:33:23.734581,4625,Failed login (brute-force),DC01,user17@corp.net,192.168.26.124
2026-03-11 19:33:23.734581,4768,Kerberos TGT request,DC04,user88@domain.local,192.168.47.193
2026-03-14 21:33:23.734581,4625,Failed login (brute-force),DC01,user3@domain.local,192.168.18.110
2026-03-11 01:33:23.734581,4624,Suspicious login,DC05,user81@corp.net,192.168.23.112
2026-03-13 01:33:23.734581,4624,Suspicious login,DC04,user30@domain.local,192.168.12.187
2026-03-13 01:33:23.734581,4624,Suspicious login,DC01,user37@corp.net,192.168.31.61
2026-03-13 07:33:23.734581,4672,Privilege escalation,DC01,user34@corp.net,192.168.27.78
2026-03-17 02:33:23.734581,4624,Suspicious login,DC03,user82@domain.local,192.168.39.73
2026-03-16 18:33:23.734581,4625,Failed login (brute-force),DC05,user62@domain.local,192.168.11.48
2026-03-11 16:33:23.734581,4624,Suspicious login,DC01,user2@corp.net,192.168.21.228
2026-03-10 14:33:23.734581,5145,Network share access,DC04,user35@domain.local,192.168.45.200
2026-03-17 08:33:23.734581,4624,Suspicious login,DC05,user92@corp.net,192.168.46.206
2026-03-16 00:33:23.734581,4625,Failed login (brute-force),DC05,user96@domain.local,192.168.45.203
2026-03-14 17:33:23.734581,4672,Privilege escalation,DC04,user37@corp.net,192.168.14.74
2026-03-12 20:33:23.734581,4624,Suspicious login,DC05,user9@corp.net,192.168.30.192
2026-03-17 09:33:23.734581,4624,Suspicious login,DC03,user17@domain.local,192.168.26.125
2026-03-16 20:33:23.734581,4625,Failed login (brute-force),DC05,user18@domain.local,192.168.16.160
2026-03-12 01:33:23.734581,4625,Failed login (brute-force),DC01,user82@domain.local,192.168.38.192
2026-03-13 23:33:23.734581,1102,Security log cleared,DC02,user14@domain.local,192.168.16.147
2026-03-13 22:33:23.734581,4672,Privilege escalation,DC03,user51@corp.net,192.168.26.61
2026-03-13 05:33:23.734581,4625,Failed login (brute-force),DC01,user3@corp.net,192.168.34.85
2026-03-13 09:33:23.734581,4625,Failed login (brute-force),DC05,user8@domain.local,192.168.26.231
2026-03-15 10:33:23.734581,4624,Suspicious login,DC03,user66@domain.local,192.168.35.232
2026-03-16 06:33:23.734581,4625,Failed login (brute-force),DC03,user75@corp.net,192.168.39.225
2026-03-15 08:33:23.734581,4672,Privilege escalation,DC04,user64@domain.local,192.168.23.28
2026-03-13 18:33:23.734581,4672,Privilege escalation,DC02,user22@corp.net,192.168.29.98
2026-03-13 14:33:23.734581,4672,Privilege escalation,DC04,user91@domain.local,192.168.36.114
2026-03-13 23:33:23.734581,1102,Security log cleared,DC02,user29@domain.local,192.168.42.232
2026-03-12 08:33:23.734581,4625,Failed login (brute-force),DC02,user50@domain.local,192.168.13.27
2026-03-12 12:33:23.734581,1102,Security log cleared,DC02,user94@corp.net,192.168.33.196
2026-03-16 04:33:23.734581,4672,Privilege escalation,DC02,user97@corp.net,192.168.17.53
2026-03-15 07:33:23.734581,4672,Privilege escalation,DC05,user84@corp.net,192.168.32.251
2026-03-11 15:33:23.734581,4624,Suspicious login,DC04,user15@domain.local,192.168.37.107
2026-03-16 18:33:23.734581,4625,Failed login (brute-force),DC05,user43@corp.net,192.168.24.2
2026-03-11 14:33:23.734581,1102,Security log cleared,DC02,user21@corp.net,192.168.17.133
2026-03-14 02:33:23.734581,4674,SID history added,DC03,user68@corp.net,192.168.28.41
2026-03-10 10:33:23.734581,4625,Failed login (brute-force),DC03,user65@corp.net,192.168.43.135
2026-03-16 22:33:23.734581,4624,Suspicious login,DC01,user78@domain.local,192.168.41.234
2026-03-13 20:33:23.734581,4624,Suspicious login,DC02,user65@domain.local,192.168.21.210
2026-03-17 02:33:23.734581,4648,RunAs explicit credentials,DC03,user29@corp.net,192.168.19.168
2026-03-13 20:33:23.734581,4625,Failed login (brute-force),DC03,user70@domain.local,192.168.13.33
2026-03-13 01:33:23.734581,4625,Failed login (brute-force),DC03,user94@corp.net,192.168.33.218
2026-03-13 17:33:23.734581,4624,Suspicious login,DC01,user91@domain.local,192.168.45.193
2026-03-12 18:33:23.734581,4624,Suspicious login,DC03,user93@domain.local,192.168.44.109
2026-03-12 00:33:23.734581,4672,Privilege escalation,DC02,user26@domain.local,192.168.43.119
2026-03-11 12:33:23.734581,4672,Privilege escalation,DC01,user68@corp.net,192.168.48.235
2026-03-13 11:33:23.734581,4624,Suspicious login,DC03,user15@domain.local,192.168.13.131
2026-03-14 07:33:23.734581,4624,Suspicious login,DC05,user3@domain.local,192.168.41.60
2026-03-14 22:33:23.734581,4625,Failed login (brute-force),DC05,user87@domain.local,192.168.39.89
2026-03-12 23:33:23.734581,4768,Kerberos TGT request,DC01,user68@corp.net,192.168.30.149
2026-03-12 10:33:23.734581,4719,Audit policy change,DC04,user73@corp.net,192.168.10.237
2026-03-11 10:33:23.734581,4672,Privilege escalation,DC05,user97@corp.net,192.168.30.97
2026-03-14 00:33:23.734581,4625,Failed login (brute-force),DC04,user27@corp.net,192.168.47.108
2026-03-15 10:33:23.734581,4624,Suspicious login,DC04,user78@domain.local,192.168.32.217
2026-03-13 08:33:23.734581,4768,Kerberos TGT request,DC01,user15@domain.local,192.168.20.155
2026-03-12 22:33:23.734581,4624,Suspicious login,DC05,user39@corp.net,192.168.24.157
2026-03-16 18:33:23.734581,5145,Network share access,DC05,user6@domain.local,192.168.10.67
2026-03-12 04:33:23.734581,4672,Privilege escalation,DC03,user39@corp.net,192.168.47.46
2026-03-13 04:33:23.734581,4625,Failed login (brute-force),DC04,user97@corp.net,192.168.21.166
2026-03-16 12:33:23.734581,4625,Failed login (brute-force),DC04,user13@domain.local,192.168.27.235
2026-03-12 19:33:23.734581,4625,Failed login (brute-force),DC02,user28@corp.net,192.168.31.159
2026-03-11 10:33:23.734581,4672,Privilege escalation,DC01,user75@corp.net,192.168.38.97
2026-03-10 19:33:23.734581,4674,SID history added,DC01,user12@domain.local,192.168.26.65
2026-03-15 00:33:23.734581,4648,RunAs explicit credentials,DC04,user25@domain.local,192.168.25.207
2026-03-11 03:33:23.734581,4648,RunAs explicit credentials,DC03,user34@corp.net,192.168.42.50
2026-03-10 20:33:23.734581,4625,Failed login (brute-force),DC02,user2@corp.net,192.168.24.7
2026-03-16 19:33:23.734581,4625,Failed login (brute-force),DC04,user63@domain.local,192.168.48.106
2026-03-12 07:33:23.734581,4625,Failed login (brute-force),DC02,user40@domain.local,192.168.38.229
2026-03-16 00:33:23.734581,4672,Privilege escalation,DC02,user11@corp.net,192.168.31.156
2026-03-13 01:33:23.734581,4625,Failed login (brute-force),DC05,user82@corp.net,192.168.50.117
2026-03-15 05:33:23.734581,4672,Privilege escalation,DC02,user12@corp.net,192.168.50.117
2026-03-12 18:33:23.734581,4648,RunAs explicit credentials,DC02,user53@corp.net,192.168.27.114
2026-03-15 02:33:23.734581,4672,Privilege escalation,DC03,user79@domain.local,192.168.44.119
2026-03-16 15:33:23.734581,4625,Failed login (brute-force),DC01,user100@corp.net,192.168.12.125
2026-03-14 06:33:23.734581,4624,Suspicious login,DC01,user76@domain.local,192.168.49.216
2026-03-12 02:33:23.734581,4672,Privilege escalation,DC03,user71@domain.local,192.168.48.237
2026-03-11 22:33:23.734581,4624,Suspicious login,DC05,user47@corp.net,192.168.49.54
2026-03-13 18:33:23.734581,4719,Audit policy change,DC03,user70@corp.net,192.168.37.177
2026-03-10 18:33:23.734581,4624,Suspicious login,DC03,user14@domain.local,192.168.23.186
2026-03-12 14:33:23.734581,4624,Suspicious login,DC04,user52@domain.local,192.168.45.176
2026-03-11 01:33:23.734581,4648,RunAs explicit credentials,DC03,user48@corp.net,192.168.27.119
2026-03-14 06:33:23.734581,4719,Audit policy change,DC04,user60@domain.local,192.168.32.197
2026-03-11 18:33:23.734581,4624,Suspicious login,DC04,user8@domain.local,192.168.36.7
2026-03-12 20:33:23.734581,4624,Suspicious login,DC05,user44@corp.net,192.168.36.55
2026-03-13 17:33:23.734581,4673,Privileged service call,DC03,user50@corp.net,192.168.37.63
2026-03-14 21:33:23.734581,4673,Privileged service call,DC04,user100@domain.local,192.168.40.82
2026-03-15 15:33:23.734581,4672,Privilege escalation,DC01,user76@domain.local,192.168.12.203
2026-03-10 16:33:23.734581,1102,Security log cleared,DC03,user26@domain.local,192.168.28.206
2026-03-13 13:33:23.734581,4719,Audit policy change,DC02,user61@corp.net,192.168.11.164
2026-03-13 14:33:23.734581,4624,Suspicious login,DC03,user87@corp.net,192.168.10.242
2026-03-14 03:33:23.734581,4672,Privilege escalation,DC02,user50@domain.local,192.168.32.80
2026-03-16 21:33:23.734581,4625,Failed login (brute-force),DC02,user16@corp.net,192.168.50.166
2026-03-13 14:33:23.734581,4625,Failed login (brute-force),DC01,user18@corp.net,192.168.27.203
2026-03-14 05:33:23.734581,4624,Suspicious login,DC02,user15@domain.local,192.168.46.94
2026-03-12 15:33:23.734581,4719,Audit policy change,DC02,user96@domain.local,192.168.34.26
2026-03-11 01:33:23.734581,4719,Audit policy change,DC05,user51@domain.local,192.168.42.123
2026-03-17 03:33:23.734581,4719,Audit policy change,DC02,user97@corp.net,192.168.33.156
2026-03-14 19:33:23.734581,4624,Suspicious login,DC02,user19@domain.local,192.168.10.118
2026-03-10 10:33:23.734581,4648,RunAs explicit credentials,DC03,user8@domain.local,192.168.26.243
2026-03-12 18:33:23.734581,4673,Privileged service call,DC02,user70@domain.local,192.168.48.95
2026-03-12 04:33:23.734581,4672,Privilege escalation,DC01,user66@domain.local,192.168.18.179
2026-03-15 10:33:23.734581,4624,Suspicious login,DC03,user15@domain.local,192.168.16.253
2026-03-17 04:33:23.734581,4624,Suspicious login,DC02,user46@corp.net,192.168.13.163
2026-03-10 12:33:23.734581,4625,Failed login (brute-force),DC01,user69@domain.local,192.168.31.90
2026-03-12 00:33:23.734581,4625,Failed login (brute-force),DC02,user83@domain.local,192.168.47.227
2026-03-14 09:33:23.734581,4625,Failed login (brute-force),DC01,user18@domain.local,192.168.28.247
2026-03-11 04:33:23.734581,4624,Suspicious login,DC02,user76@corp.net,192.168.33.40
2026-03-16 20:33:23.734581,4672,Privilege escalation,DC04,user87@corp.net,192.168.34.213
2026-03-15 05:33:23.734581,1102,Security log cleared,DC01,user29@domain.local,192.168.29.41
2026-03-12 08:33:23.734581,4625,Failed login (brute-force),DC02,user70@corp.net,192.168.31.73
2026-03-12 21:33:23.734581,4625,Failed login (brute-force),DC02,user60@corp.net,192.168.47.156
2026-03-11 20:33:23.734581,4672,Privilege escalation,DC05,user65@corp.net,192.168.41.89
2026-03-12 22:33:23.734581,4673,Privileged service call,DC04,user68@corp.net,192.168.45.16
2026-03-10 21:33:23.734581,4625,Failed login (brute-force),DC01,user21@corp.net,192.168.38.198
2026-03-16 12:33:23.734581,4625,Failed login (brute-force),DC04,user20@domain.local,192.168.33.32
2026-03-11 02:33:23.734581,4624,Suspicious login,DC01,user97@domain.local,192.168.10.221
2026-03-16 00:33:23.734581,1102,Security log cleared,DC01,user81@corp.net,192.168.18.34
2026-03-14 07:33:23.734581,4625,Failed login (brute-force),DC03,user33@domain.local,192.168.50.6
2026-03-14 00:33:23.734581,4625,Failed login (brute-force),DC03,user95@corp.net,192.168.38.248
2026-03-16 16:33:23.734581,4719,Audit policy change,DC04,user88@corp.net,192.168.26.60
2026-03-11 07:33:23.734581,4625,Failed login (brute-force),DC02,user97@corp.net,192.168.38.136
2026-03-13 17:33:23.734581,1102,Security log cleared,DC04,user79@corp.net,192.168.43.88
2026-03-13 23:33:23.734581,4672,Privilege escalation,DC02,user33@domain.local,192.168.45.75
2026-03-14 02:33:23.734581,4672,Privilege escalation,DC05,user6@corp.net,192.168.45.138
2026-03-15 05:33:23.734581,4672,Privilege escalation,DC02,user78@domain.local,192.168.20.134
2026-03-11 16:33:23.734581,4673,Privileged service call,DC02,user91@corp.net,192.168.39.149
2026-03-13 03:33:23.734581,4719,Audit policy change,DC01,user6@domain.local,192.168.19.182
2026-03-12 23:33:23.734581,4624,Suspicious login,DC01,user67@domain.local,192.168.19.236
2026-03-11 02:33:23.734581,4648,RunAs explicit credentials,DC01,user13@domain.local,192.168.31.233
2026-03-13 23:33:23.734581,4624,Suspicious login,DC01,user20@corp.net,192.168.19.191
2026-03-13 00:33:23.734581,4624,Suspicious login,DC05,user69@domain.local,192.168.25.142
2026-03-14 09:33:23.734581,4624,Suspicious login,DC03,user9@corp.net,192.168.26.6
2026-03-14 02:33:23.734581,4672,Privilege escalation,DC05,user84@domain.local,192.168.33.240
2026-03-11 05:33:23.734581,4624,Suspicious login,DC03,user95@domain.local,192.168.33.167
2026-03-11 15:33:23.734581,4625,Failed login (brute-force),DC01,user74@corp.net,192.168.43.24
2026-03-13 19:33:23.734581,4625,Failed login (brute-force),DC05,user30@domain.local,192.168.38.11
2026-03-13 21:33:23.734581,4624,Suspicious login,DC01,user58@domain.local,192.168.15.19
2026-03-16 04:33:23.734581,4625,Failed login (brute-force),DC03,user76@domain.local,192.168.10.216
2026-03-14 09:33:23.734581,4625,Failed login (brute-force),DC02,user89@domain.local,192.168.16.233
2026-03-13 18:33:23.734581,4719,Audit policy change,DC03,user15@domain.local,192.168.26.230
2026-03-13 16:33:23.734581,4625,Failed login (brute-force),DC04,user12@domain.local,192.168.32.124
2026-03-15 00:33:23.734581,4674,SID history added,DC03,user46@corp.net,192.168.49.165
2026-03-14 07:33:23.734581,4719,Audit policy change,DC04,user23@corp.net,192.168.32.190
2026-03-12 18:33:23.734581,4624,Suspicious login,DC05,user41@domain.local,192.168.27.66
2026-03-15 02:33:23.734581,4719,Audit policy change,DC01,user73@corp.net,192.168.38.165
2026-03-15 13:33:23.734581,4624,Suspicious login,DC05,user2@corp.net,192.168.34.182
2026-03-17 07:33:23.734581,4719,Audit policy change,DC03,user95@corp.net,192.168.12.118
2026-03-16 19:33:23.734581,4719,Audit policy change,DC05,user48@corp.net,192.168.40.128
2026-03-12 19:33:23.734581,4625,Failed login (brute-force),DC05,user7@domain.local,192.168.37.33
2026-03-13 02:33:23.734581,4625,Failed login (brute-force),DC01,user71@corp.net,192.168.23.125
2026-03-11 21:33:23.734581,4625,Failed login (brute-force),DC04,user67@corp.net,192.168.37.217
2026-03-14 12:33:23.734581,4625,Failed login (brute-force),DC05,user31@corp.net,192.168.30.218
